name,email,phone,company,phone_cleaned,email_valid
Michael Mckay,michael.mckay@davis-hill.com,845.473.5544x250,Mendoza Ltd Ltd,8454735544250,True
Paula Rocha,paula.rocha@graham.com,+1 616 261 1895x97060,Moses-Ramirez Solutions,+1616261189597060,True
Phyllis Byrd,phyllis.byrd@knight-smith.com,960.737.1925,"Hart, Smith and Phillips",9607371925,True
Shane Bryant,shane.bryant@knight.biz,543-913-9991,Johnson-Jacobs Services,5439139991,True
Judy Campos,judy.campos@avery.com,001-644-207-5031x36573,"Fields, Jones and Sosa",001644207503136573,True
Sarah Trevino,sarah.trevino@galloway-mcdonald.com,001-395-999-9436x29820,Hamilton and Sons Corp,001395999943629820,True
Alexander Caldwell,alexander.caldwell@green.net,253 313 5174x18201,"Glover, Carr and Warner Solutions",253313517418201,True
Christina Bryan,christina.bryan@roy.com,+1-770-926-1739x160,"Bryan, Clark and Hanson Inc",+17709261739160,True
Rachel Sanchez,rachel.sanchez@wallace-dawson.biz,687 747 6920x25022,Carter Group,687747692025022,True
Jason Smith,jason.smith@wilkerson.com,2406372548,Trujillo Group,2406372548,True
Lisa Owen,lisa.owen@phillips-erickson.info,350.995.7021,Carter Group,3509957021,True
Michael Miller,michael.miller@sullivan.biz,(566)260-9627x96543,"Rodgers, Fuller and Chambers",566260962796543,True
Scott Anderson,scott.anderson@johnson.com,001-671-938-0098x111,"Garcia, Mcintosh and Owens",0016719380098111,True
Joshua Howell,joshua.howell@anderson-gallagher.biz,729.603.1563x081,Maldonado LLC,7296031563081,True
John Wallace,john.wallace@padilla-rodriguez.org,001 245 384 8383x60841,Thompson-Larson Technologies,001245384838360841,True
Deborah Perry,deborah.perry@hughes-marshall.net,8135129887,"Blair, Acosta and Morton Systems",8135129887,True
April Miller,april.miller@horn.biz,001-921-845-3311x395,Vance-Rivas Technologies,0019218453311395,True
Joseph Robbins,joseph.robbins@smith.net,532-491-7900,Yang-Turner,5324917900,True
Michael Bryant,michael.bryant@thomas-roth.net,+1-800-376-0881,Herrera and Sons Ltd,+18003760881,True
Mackenzie Ortiz,mackenzie.ortiz@thomas.com,477-645-2491,Richardson-Elliott,4776452491,True
Lacey Moore,lacey@invalid-domain,543-315-9877,Thomas-Chandler LLC,5433159877,False
Alyssa Brooks,alyssa.brooks@mayer.biz,9057530586,Dickson-Jones,9057530586,True
Amanda Dudley,amanda.dudley@jackson.org,001-618-835-7009x615,"Hernandez, Kirk and George",0016188357009615,True
Melissa Morris,melissa.morris@ramirez.com,568.481.1384x245,Mendez Inc,5684811384245,True
Christian Strickland,christian.strickland@aguilar-hayes.biz,(270)601-4025x992,"Harrison, Tucker and Wood LLC",2706014025992,True
Tony Steele,tony.steele@tran-jimenez.com,(357)906-5678x892,"Moore, Sims and Oneal",3579065678892,True
Hannah Perez,hannah.perez@gregory.biz,001 558 904 8514x5232,Maynard LLC Inc,00155890485145232,True
Denise Terry,denise.terry@young.com,296-329-7501x4337,"Perkins, Peterson and Cooper Technologies",29632975014337,True
Robin Medina,robin.medina@moody.com,722-912-6138x17577,Price-Miranda LLC,722912613817577,True
Douglas Cox,douglas.cox@sanchez.com,524519 8454,"Brown, Warren and Logan",5245198454,True
Jose Wallace,jose..wallace@watson.com,780-832-0567x393,Mills-Morgan Solutions,7808320567393,True
Christina Mathews,christina.mathews@nunez.net,+1-935-256-0905x382,"Singh, Blair and Mathis",+19352560905382,True
Zachary Henderson,zachary.henderson@parker.com,949.571.1219,"Berg, Taylor and Wong",9495711219,True
Thomas Fox,thomas.fox@johnson.com,7407445616,Griffin-Duncan,7407445616,True
Brooke Garcia,brooke.garcia@walker.com,561-477-7440,Decker-Koch,5614777440,True
Marcia Bell,marcia.bell@blair.com,001 627 763 5326,Sanchez Inc,0016277635326,True
Jeffrey Kelley,jeffrey.kelley@moran.org,001.478.574.0134x87856,Reed-Turner,001478574013487856,True
Bobby Gomez,bobby.gomez@robinson-miller.info,385-666-8540x05137,Stafford-Alvarado,385666854005137,True
Samantha George,samantha.george@lopez.com,(324)381.8397x70074,Elliott-Harrison,324381839770074,True
Christine Dalton,christine.dalton@scott.com,001-908-949-4171x16842,"Robbins, Williams and Smith Solutions",001908949417116842,True
Justin Scott,justin.scott@thompson.org,+1 313 580 3501,Neal-Good,+13135803501,True
William Boyd,william.boyd@guerrero.com,+1-991-308-5000,"Walker, Johnson and Smith",+19913085000,True
Theodore Hall,theodore.hall@gonzalez-sullivan.biz,9414634365,"Duncan, Perry and Bell LLC",9414634365,True
Stacy Mcgee,stacy.mcgee@scott-nichols.com,+1-957-775-3472x2518,Young-Harris,+195777534722518,True
Paula Smith,paula.smith@miranda.com,484.413.3530,Navarro-Richardson,4844133530,True
Sarah Mitchell,sarah.mitchell@peterson.com,001-847-394-7467x2996,Washington Inc Technologies,00184739474672996,True
Carly Yang,carly.yang@choi-hendrix.info,523356 5839,Vazquez Ltd Technologies,5233565839,True
Melissa Weiss,melissa.weiss@curtis.com,001.924.375.7562x10829,Evans-Villegas Group,001924375756210829,True
Kenneth Hunter,kenneth.hunter@moon.com,001 776 546 0563x609,"Petersen, Peterson and Townsend Corp",0017765460563609,True
Meagan Werner,meagan.werner@lam.biz,(812)610-5756,Jones and Sons,8126105756,True
Shelley Hernandez,shelley.hernandez@fleming.com,983.342.5559x1845,"Walker, Golden and Hernandez",98334255591845,True
Mary Shepherd,mary.shepherd@meadows-sanchez.com,972.845.6681x10694,"Chandler, Mayo and Cox",972845668110694,True
Debbie Martin,debbie.martin@miller-williamson.com,(792)744-7945x56726,Garcia-Olson Solutions,792744794556726,True
Michael Mcclure,michael.mcclure@smith-mccullough.com,(854)637-1821,Mack Inc Services,8546371821,True
Bryan Graham,bryan.graham@jimenez.biz,+1 706 501 3878,Perez and Sons Corp,+17065013878,True
Adam Martinez,adam.martinez@camacho.com,(576)998-8075x0817,"Holmes, Lucas and Fuller Technologies",57699880750817,True
Melissa Miller,melissa.miller@martinez.info,470.986.7223,"Soto, Rubio and Adams Technologies",4709867223,True
Michael Gonzalez,michael.gonzalez@harrison-robles.com,001-628-613-3926x20402,Moss-Davis,001628613392620402,True
Brett Nichols,brett.nichols@becker.net,(574)845-5019,"Green, Martinez and Garcia",5748455019,True
Sara Cook,sara.cook@hartman.com,407.720.7353,Robinson and Sons,4077207353,True
Jeffery Lloyd,jeffery.lloyd@carroll.com,580888 0022,"Murphy, Le and Ali Group",5808880022,True
Gina Warner,gina.warner@banks.info,001 677 797 2992x415,Ray-Parker,0016777972992415,True
Deanna Howe,deanna.howe@white.com,358.970.2479x57431,"Carpenter, Sellers and Robinson Systems",358970247957431,True
Scott Oliver,scott.oliver@curtis.com,970-435-2860,"Hamilton, Prince and Park Corp",9704352860,True
Dawn Webb,dawn.webb@perry.com,881840 0338x56476,Schmidt-Stewart,881840033856476,True
David Ramirez,david.ramirez@thompson.com,610.401.9140,Murphy-Martinez,6104019140,True
Devin Thompson,devin.thompson@castillo.com,+1-619-789-1057x176,Smith Group,+16197891057176,True
Mark Bush,mark.bush@coffey.net,565.760.9235,Salazar Inc,5657609235,True
Lisa Coleman,lisa.coleman@smith.org,351302 0149,"Harris, Guzman and Vaughn Services",3513020149,True
Sarah Brown,sarah.brown@colon.com,001.632.203.5745x211,"Young, Wiley and Lin LLC",0016322035745211,True
Michael Stafford,michael..stafford@williams-zuniga.biz,531.222.5472x76809,Thomas LLC Solutions,531222547276809,True
Matthew Jones,matthew.jones@pierce-flynn.com,787.640.3819x058,Blankenship-Hayes Services,7876403819058,True
Richard Lutz,richard.lutz@schneider.com,5893911912,"Shah, Stevens and Moon",5893911912,True
Lori Reyes,lori.reyes@pierce.biz,001-860-650-2947,"Lozano, Abbott and Duncan",0018606502947,True
Suzanne Olsen,suzanne.olsen@donovan-ochoa.com,944.814.8638,"Lawson, Stone and Fernandez",9448148638,True
Scott Martinez,scott.martinez@bailey.info,001-417-367-8686x33666,Vargas-Morgan LLC,001417367868633666,True
Margaret Bryant,margaret.bryant@hardy.com,001-428-912-0502x649,"Estrada, Burton and Freeman Services",0014289120502649,True
Donna Daniels,donna.daniels@guerra.org,524-513-8164,Pitts PLC,5245138164,True
Isaiah Johnson,isaiah.johnson@robbins.com,+1 802 950 6945x7553,"David, Wright and Roberts",+180295069457553,True
Ariel Daniel,ariel.daniel@vasquez.com,497.467.3819,Grant and Sons,4974673819,True
Tyler Horton,tyler.horton@avila.com,720.783.0230x21977,Joyce-Lane,720783023021977,True
Jeremiah Harvey,jeremiah.harvey@young.biz,+1-574-725-6502,Davis-Frey Corp,+15747256502,True
Breanna Walters,breanna.walters@garza-young.com,910-303-2435,Thomas Ltd Systems,9103032435,True
Claire King,claire.king@long.com,520.968.6805x233,Berry PLC LLC,5209686805233,True
Stacie Wright,stacie.wright@cook-oliver.net,253.994.3340x3411,"Arellano, Montgomery and Cross Solutions",25399433403411,True
Jose Berger,jose.berger@smith.com,+1-471-238-1273x0239,"Brown, Hill and Holt Group",+147123812730239,True
Tiffany Kelley,tiffany..kelley@miller-russell.com,4289743458,Johnson-Ruiz Group,4289743458,True
Valerie Barton,valerie.barton@peters.com,318.735.9091,Mcdaniel LLC Services,3187359091,True
Tiffany Blankenship,tiffany@invalid-domain,453.438.7950,Miller Ltd Solutions,4534387950,False
Allison Ward,allison.ward@rodriguez.org,250-380-8472x2263,Marks-Bishop Inc,25038084722263,True
Brenda Ramirez,brenda.ramirez@blair.info,9014471024,Henry-Mercado,9014471024,True
Paige Johnson,paige.johnson@jones.com,(953)772-2401x94097,Moore-Chapman,953772240194097,True
Jose Thompson,jose.thompson@ray.org,001 990 448 0669x4877,Garcia-Hutchinson LLC,00199044806694877,True
Amy Bennett,amy.bennett@lewis-morton.com,574-814-7039x15462,Woods Group,574814703915462,True
Kyle Phelps,kyle.phelps@chen-cooper.com,536-745-0031x504,"Kennedy, Davila and Wolf Technologies",5367450031504,True
Christopher Pearson,christopher.pearson@franklin.com,898-949-6412,"Franco, Mitchell and Lopez",8989496412,True
Jeffrey Powers,jeffrey.powers@clark.biz,321-382-0054,Valdez Inc LLC,3213820054,True
Tiffany Cooper,tiffany.cooper@hansen.org,(567)290-0071,Chapman-Mendez Ltd,5672900071,True
Crystal Williams,crystal.williams@martinez-gonzalez.com,001 205 307 3076x9823,"George, Lee and Jordan Technologies",00120530730769823,True
Tyler Cook,tyler.cook@walker-powell.net,001.930.390.8283x7355,Bonilla-Alexander Services,00193039082837355,True
Morgan Reed,morgan.reed@edwards.info,602 474 4072x6095,Castillo PLC LLC,60247440726095,True
Dustin Lane,dustin.lane@roberts-allen.biz,703-865-1852x83790,"Morris, May and Baldwin",703865185283790,True
Wayne Wright,wayne.wright@wood.biz,893.738.4927,Freeman-Taylor Ltd,8937384927,True
Lindsay Mccoy,lindsay.mccoy@holland-diaz.com,+1-506-560-5237x6200,Bryant PLC,+150656052376200,True
Lauren Wilson,lauren@invalid-domain,001-761-825-4368x605,"Riley, Smith and Villa",0017618254368605,False
Faith Santana,faith..santana@hall-chan.com,359-966-8921,Whitaker-Davis Inc,3599668921,True
Alexis Hill,alexis.hill@curtis-le.biz,001-408-974-1452x44486,Meyer and Sons,001408974145244486,True
Katherine Patel,katherine.patel@pena-lane.com,001 993 790 6185,Bright-Li,0019937906185,True
Jessica James,jessica.james@ortiz-becker.com,+1-411-817-9804x7223,"Wall, Mitchell and Smith LLC",+141181798047223,True
Ashley Lloyd,ashley..lloyd@fisher.com,901.504.1493,Davis-Garcia Corp,9015041493,True
Valerie Wilson,valerie.wilson@carpenter-moody.info,391-300-5731x336,Cannon LLC,3913005731336,True
Brian Owens,brian.owens@anderson.net,3412590123,"Moore, Mcdonald and Graham Services",3412590123,True
Melinda Neal,melinda.neal@murray.com,445-879-5901,Richards-Campbell,4458795901,True
Allen Lopez,allen.lopez@wang.com,543.869.2056,"Harrison, Powers and Colon Systems",5438692056,True
Jesse Pham,jesse.pham@rosales.org,458624 9720x08050,"Hale, Ramos and Fischer Technologies",458624972008050,True
Philip Rivera,philip.rivera@miller-caldwell.com,677.564.5369x62828,Thompson Inc,677564536962828,True
Jessica Graham,jessica.graham@walker.org,597-508-6267x8076,Wu Ltd,59750862678076,True
Tyler Hopkins,tyler.hopkins@peck-graham.info,725.275.1564x78148,Mclean Group,725275156478148,True
Luis Hernandez,luis.hernandez@freeman.com,258.539.2282,Jensen PLC,2585392282,True
Samantha Reynolds,samantha.reynolds@gomez.org,750 844 6802x64033,Miller-Harris Technologies,750844680264033,True
Jeremy Greene,jeremy.greene@marsh.info,714.667.1213,Robinson Ltd,7146671213,True
Robert Nolan,robert.nolan@kramer-wilson.com,(758)788-5547,"Townsend, Cole and Black",7587885547,True
Mary Evans,mary.evans@sanchez-duncan.info,(428)592.9325x1184,Alexander-Hanna,42859293251184,True
Timothy Smith,timothy.smith@white-burke.net,8375235721,Mitchell Ltd Group,8375235721,True
Monica Rodriguez,monica.rodriguez@walter-watkins.com,(249)259-7160x63140,Schneider-Contreras,249259716063140,True
William Jimenez,william.jimenez@turner-white.com,906.205.6789,"Nelson, Farmer and Gross Services",9062056789,True
Christopher Burns,christopher@invalid-domain,213.765.9590x958,Garrett and Sons,2137659590958,False
Madison Maxwell,madison..maxwell@le.net,243.843.6060,Sullivan Group,2438436060,True
Cynthia Price,cynthia@invalid-domain,233-483-0421,Oconnell-Shaw,2334830421,False
Barbara Rodriguez,barbara.rodriguez@mcknight.org,+1 752 788 8246x89819,Johnson LLC,+1752788824689819,True
Brian Powell,brian.powell@hoffman.net,9302555808,"Brown, Robinson and Ferguson",9302555808,True
Derek Fowler,derek.fowler@livingston-smith.com,905.294.0435x21227,Conrad Group LLC,905294043521227,True
Thomas Frazier,thomas.frazier@michael-jennings.com,200518 7957x47878,Morgan Inc,200518795747878,True
Jerome Smith,jerome.smith@ho-henderson.org,+1.538.426.5851x1446,Smith-Peterson,+153842658511446,True
Teresa Gibbs,teresa.gibbs@wilson.com,001-785-558-1729x88601,Clay-Hart Services,001785558172988601,True
Brent Sandoval,brent.sandoval@pennington.net,214.626.8760x96430,Johnson-Haney Solutions,214626876096430,True
Geoffrey Andrews,geoffrey.andrews@sullivan-rodriguez.com,8157308502,"Hall, Navarro and Salazar",8157308502,True
Patrick Johnson,patrick.johnson@mcdonald.com,528 888 2128x1039,"Smith, Day and Hicks Ltd",52888821281039,True
Kylie Ponce,kylie.ponce@jones.net,001-628-260-1742x69794,"Moore, Simmons and Mills Group",001628260174269794,True
Joseph Norman,joseph.norman@bean.com,001-441-786-2237x56677,"Mitchell, Cook and Diaz",001441786223756677,True
Kimberly Bowers,kimberly.bowers@miller.net,(829)751.3507x8486,"Watson, Turner and Edwards",82975135078486,True
Nicole Diaz,nicole.diaz@ballard.net,935-366-0787,Edwards-Strickland,9353660787,True
Patrick Webb,patrick.webb@cruz.com,001 977 330 2342x0222,Jackson and Sons,00197733023420222,True
Carlos Hoffman,carlos.hoffman@davis-leach.org,989576 1789,Gilbert Inc,9895761789,True
Steven Cruz,steven.cruz@knight-parker.com,(568)589-6526,"White, Byrd and Smith LLC",5685896526,True
Evan Myers,evan.myers@diaz.com,+1 963 203 1218x630,Mcdonald-Stewart,+19632031218630,True
Lacey Torres,lacey.torres@hall-fitzpatrick.com,001-585-648-2439x4210,Hill Ltd Inc,00158564824394210,True
Susan Murphy,susan.murphy@ramirez.com,481 303 4584x302,Zamora Ltd,4813034584302,True
Kelly Manning,kelly.manning@chapman-davis.com,837.470.7820x377,"Price, Taylor and Michael Systems",8374707820377,True
Michael Pittman,michael.pittman@turner.com,8909969101,"Collins, Leonard and Mills",8909969101,True
Jane Johnson,jane.johnson@wood.biz,870 416 5161x8801,"Smith, Graham and Parrish Systems",87041651618801,True
Tony Cook,tony.cook@mccall-andrade.com,(442)365-4445x19408,"Martinez, Duncan and Hood",442365444519408,True
Michelle Taylor,michelle.taylor@scott.com,601.274.5361x44295,"Wilson, Smith and Warren Corp",601274536144295,True
Kyle Eaton,kyle.eaton@butler-hahn.com,720.258.8683,Henry-Padilla Corp,7202588683,True
Anthony Miller,anthony.miller@morales.com,697-858-3221,Cohen Inc Corp,6978583221,True
Patrick Perez,patrick.perez@montoya.com,001 648 209 7559,"Gonzales, Dalton and Mullen",0016482097559,True
Paul Brown,paul@invalid-domain,379-781-9353x3467,Hall-Hebert Ltd,37978193533467,False
James Lewis,james.lewis@ewing-caldwell.com,829.912.5688x71758,Gardner-Hoffman,829912568871758,True
Andre Thompson,andre.thompson@lewis.info,8338122318,Lopez PLC LLC,8338122318,True
Paul Cooper,paul.cooper@young-miller.com,+1 986 538 4584x3142,Anderson and Sons Services,+198653845843142,True
